	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
   VBTF_VBOF	   21	0.03%	 null	0.00% Misclassified as: VBOF-9(42.86)% | VBTF-7(33.33)% | RBD-1(4.76)% | RBD_CCP-1(4.76)% | VBTF_VBAF-1(4.76)% | VBTS-1(4.76)% | VBW-1(4.76)% | 
    JJCS_CCP	   20	0.02%	   19	95.00% Misclassified as: RBD_CCP-1(5.00)% | 
     RBL_NNP	   20	0.02%	   18	90.00% Misclassified as: RBL-1(5.00)% | VBTS-1(5.00)% | 
      PRO_LM	   17	0.02%	   17	100.00% Misclassified as: 
     VBS_CCP	   17	0.02%	   13	76.47% Misclassified as: RBM-4(23.53)% | 
         RBN	   14	0.02%	    3	21.43% Misclassified as: JJD-4(28.57)% | RBD-3(21.43)% | RBW-2(14.29)% | CCB-1(7.14)% | RBL-1(7.14)% | 
     VBW_CCP	   14	0.02%	    6	42.86% Misclassified as: JJD_CCP-3(21.43)% | RBD_CCP-3(21.43)% | NNC-1(7.14)% | NNC_CCP-1(7.14)% | 
VBTR_VBAF_CCP	   12	0.01%	    8	66.67% Misclassified as: JJD_CCP-1(8.33)% | RBD_CCP-1(8.33)% | VBTR_CCP-1(8.33)% | VBTR_VBAF-1(8.33)% | 
     CCB_CCP	   10	0.01%	   10	100.00% Misclassified as: 
    VBRF_CCP	   10	0.01%	    9	90.00% Misclassified as: NNP_CCP-1(10.00)% | 
        VBOB	    9	0.01%	    6	66.67% Misclassified as: VBOF-3(33.33)% | 
    VBTF_CCP	    9	0.01%	    3	33.33% Misclassified as: JJD_CCP-2(22.22)% | RBD_CCP-2(22.22)% | FW-1(11.11)% | VBTF-1(11.11)% | 
     RBQ_CCP	    8	0.01%	    4	50.00% Misclassified as: RBQ-2(25.00)% | PRC_CCP-1(12.50)% | RBD_CCP-1(12.50)% | 
         PMQ	    7	0.01%	    3	42.86% Misclassified as: FW-3(42.86)% | PMS-1(14.29)% | 
   VBTF_VBAF	    6	0.01%	 null	0.00% Misclassified as: VBTF-3(50.00)% | VBW-2(33.33)% | VBAF-1(16.67)% | 
    JJCC_CCP	    5	0.01%	    4	80.00% Misclassified as: JJCC-1(20.00)% | 
     JJN_CCA	    5	0.01%	    3	60.00% Misclassified as: JJN-2(40.00)% | 
        VBOL	    5	0.01%	    2	40.00% Misclassified as: VBOF-2(40.00)% | VBTS-1(20.00)% | 
     CCT_CCP	    4	0.00%	    4	100.00% Misclassified as: 
     CDB_CCP	    4	0.00%	    1	25.00% Misclassified as: JJN_CCP-3(75.00)% | 
     RBF_CCP	    4	0.00%	    2	50.00% Misclassified as: JJD_CCP-1(25.00)% | VBN_CCP-1(25.00)% | 
      RBW_LM	    4	0.00%	    4	100.00% Misclassified as: 
VBTR_VBRF_CCP	    4	0.00%	    2	50.00% Misclassified as: VBRF_CCP-1(25.00)% | VBTR_VBRF-1(25.00)% | 
     CCR_CCA	    3	0.00%	    3	100.00% Misclassified as: 
      CCR_LM	    3	0.00%	    3	100.00% Misclassified as: 
     JJD_CCA	    3	0.00%	 null	0.00% Misclassified as: NNC-2(66.67)% | CCT-1(33.33)% | 
      PRP_LM	    3	0.00%	    3	100.00% Misclassified as: 
     RBM_CCP	    3	0.00%	 null	0.00% Misclassified as: RBM-3(100.00)% | 
         RBS	    3	0.00%	    1	33.33% Misclassified as: NNP-1(33.33)% | NNPA-1(33.33)% | 
        JJCN	    2	0.00%	 null	0.00% Misclassified as: RBF-2(100.00)% | 
    VBAF_CCP	    2	0.00%	 null	0.00% Misclassified as: JJD_CCP-1(50.00)% | RBD_CCP-1(50.00)% | 
   VBTS_VBRF	    2	0.00%	 null	0.00% Misclassified as: VBRF-2(100.00)% | 
