	Gold 	 Count 	 Distribution 	 Recalled 	 Recall %
   JJCS_VBTS	    1	0.00%	    1	100.00% Misclassified as: 
     JJC_PRL	    1	0.00%	    1	100.00% Misclassified as: 
     JJD_CCT	    1	0.00%	    1	100.00% Misclassified as: 
     JJD_NNP	    1	0.00%	    1	100.00% Misclassified as: 
     JJN_CCB	    1	0.00%	 null	0.00% Misclassified as: JJN_CCP-1(100.00)% | 
     JJN_NNC	    1	0.00%	    1	100.00% Misclassified as: 
 JJN_NNC_CCP	    1	0.00%	    1	100.00% Misclassified as: 
     NNC_PMC	    1	0.00%	    1	100.00% Misclassified as: 
     NNP_CCA	    1	0.00%	    1	100.00% Misclassified as: 
         PME	    1	0.00%	 null	0.00% Misclassified as: PMS-1(100.00)% | 
     PRC_CCB	    1	0.00%	    1	100.00% Misclassified as: 
         PRF	    1	0.00%	    1	100.00% Misclassified as: 
     PRI_CCT	    1	0.00%	 null	0.00% Misclassified as: PRI_CCP-1(100.00)% | 
     PRL_CCP	    1	0.00%	    1	100.00% Misclassified as: 
      PRL_LM	    1	0.00%	    1	100.00% Misclassified as: 
     PRP_CCB	    1	0.00%	    1	100.00% Misclassified as: 
     RBD_CCB	    1	0.00%	    1	100.00% Misclassified as: 
      RBD_LM	    1	0.00%	    1	100.00% Misclassified as: 
     RBF_RBW	    1	0.00%	    1	100.00% Misclassified as: 
      RBI_LM	    1	0.00%	 null	0.00% Misclassified as: VBW-1(100.00)% | 
     RBJ_CCP	    1	0.00%	    1	100.00% Misclassified as: 
      RBK_LM	    1	0.00%	    1	100.00% Misclassified as: 
 RBL_CCP_NNP	    1	0.00%	    1	100.00% Misclassified as: 
     RBL_NNC	    1	0.00%	    1	100.00% Misclassified as: 
     RBL_PRL	    1	0.00%	    1	100.00% Misclassified as: 
      RBM_LM	    1	0.00%	    1	100.00% Misclassified as: 
     RBP_CCP	    1	0.00%	    1	100.00% Misclassified as: 
     RBQ_CCB	    1	0.00%	    1	100.00% Misclassified as: 
     RBR_DTP	    1	0.00%	    1	100.00% Misclassified as: 
     RBS_CCP	    1	0.00%	 null	0.00% Misclassified as: VBTS-1(100.00)% | 
     RBT_CCB	    1	0.00%	    1	100.00% Misclassified as: 
     RBW_DTP	    1	0.00%	    1	100.00% Misclassified as: 
     RBW_RBI	    1	0.00%	    1	100.00% Misclassified as: 
    VBOB_CCP	    1	0.00%	    1	100.00% Misclassified as: 
VBTR_VBOF_CCP	    1	0.00%	    1	100.00% Misclassified as: 
    VBTS_CCA	    1	0.00%	    1	100.00% Misclassified as: 
     VBW_CCB	    1	0.00%	 null	0.00% Misclassified as: VBH_CCP-1(100.00)% | 
     VBW_CDB	    1	0.00%	    1	100.00% Misclassified as: 

Average Precision: 0.9389804010516571
Average Recall: 0.9087939860086188
Accuracy: 0.9819776866596739
GoldTag	PredTag	Word	Sent#	Word#
G:CCA P:CCP na 682 22 		Context - lalaking|NNC_CCP sekswal|JJD *na|CCP* katangian|NNC habang|RBW 
G:CCA P:CCT sa 3450 17 		Context - lupa|NNC at|CCA *sa|CCT* Zanzibar|NNP .|PMP 
G:CCA P:NNP León 2849 26 		Context - Kaharian|NNP ng|CCB *León|NNP* at|CCA Galicia.|PMP 
G:CCB P:CCP na 3016 17 		Context - anong|PRQ_CCP panahon|NNC *na|CCP* Sultanate_of_Logone-Birni|NNP timog|JJD 
G:CCB P:CCP na 3382 10 		Context - ng|CCB mabigay|VBW *na|CCP* kulabong|NNC at|CCA 
G:CCB P:CCP na 800 20 		Context - sa|CCT Stuyvesant|NNP *na|CCP* gumawa|VBAF ng|CCB 
G:CCB P:CCP ng 4299 2 		Context - Ipinahayag|VBTS_VBOF uli|RBW *ng|CCP* Portugal|NNP noong|RBW_CCP 
G:CCB P:CCT Bagamat 1864 0 		Context - *Bagamat|CCT* ang|DTC agham|NNC 
G:CCB P:CCT Kabilang 1444 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT Kabilang 2269 0 		Context - *Kabilang|CCT* sa|CCT karamihan|PRI 
G:CCB P:CCT Kabilang 4840 0 		Context - *Kabilang|CCT* sa|CCT kabuuang|PRI_CCP 
G:CCB P:CCT Kabilang 5999 0 		Context - *Kabilang|CCT* sa|CCT mga|DTCP 
G:CCB P:CCT kabilang 2695 32 		Context - balanse|NNC ,|PMC *kabilang|CCT* na|CCP rin|RBI 
G:CCB P:CCT kabilang 2806 57 		Context - ,|PMC na|CCP *kabilang|CCT* ang_mga|DTCP pisikal|JJD 
G:CCB P:CCT kabilang 3281 10 		Context - parke|NNC ,|PMC *kabilang|CCT* ang|DTC malaking|JJD_CCP 
G:CCB P:CCT kabilang 355 17 		Context - Europa|NNP ,|PMC *kabilang|CCT* na|CCP ang|DTC 
G:CCB P:CCT kabilang 4232 4 		Context - bansa|NNC na|CCP *kabilang|CCT* sa|CCT grupo|NNC 
G:CCB P:CCT kabilang 4269 19 		Context - Islamic|NNP Sharia|NNP *kabilang|CCT* na|CCP ang_mga|DTCP 
G:CCB P:CCT kabilang 5966 14 		Context - kultura|NNC ,|PMC *kabilang|CCT* na|CCP ang|DTC 
G:CCB P:CCT para 2352 47 		Context - na|CCP itinatag|VBOF *para|CCT* makamit|VBW ang_mga|DTCP 
G:CCB P:CCT para 318 11 		Context - tagasalo|NNC ,|PMC *para|CCT* may|VBH magandang|JJD_CCP 
G:CCB P:DTP si 1126 26 		Context - ng|CCB konstelasyong|NNC_CCP *si|DTP* Draco|NNP .|PMP 
G:CCB P:NNC pagdating 1979 1 		Context - Sa|CCT *pagdating|NNC* ng|CCB dulong|NNC_CCP 
G:CCB P:NNC uri 1664 19 		Context - Rican|NNP na|CCP *uri|NNC* ng|CCB ibon|NNC_CCP 
G:CCB P:NNP Algerians 250 3 		Context - 30%|CDB ng|CCB *Algerians|NNP* ay|LM nasa|RBL 
G:CCB P:NNP Ingram 1928 11 		Context - kumpanya|NNC ng|CCB *Ingram|NNP* Book|NNP Group|NNP 
G:CCB P:RBW Habang 3112 0 		Context - *Habang|RBW* nasa|RBL prosesong|NNC_CCP 
G:CCP P:CCB ng 1046 21 		Context - Buddhadeb|NNP Bhattacharya|NNP *ng|CCB* CPI|NNPA (|PMS 
G:CCP P:CCB ng 2107 18 		Context - ,|PMC binisita|VBOF *ng|CCB* Phoenicians|NNP at|CCA 
G:CCP P:CCB ng 2107 26 		Context - sa|CCT kapangyarihan|NNC *ng|CCB* Republika|NNP ng|CCB 
G:CCP P:CCB ng 2107 28 		Context - ng|CCB Republika|NNP *ng|CCB* Romano|NNP (|PMS 
G:CCP P:CCB ng 2107 40 		Context - itinatag|VBTS_VBOF uli|RBW *ng|CCB* Suevi|NNP ,|PMC 
G:CCP P:CCB ng 2711 21 		Context - at|CCA sentro|NNC *ng|CCB* kultura|NNC ;|PMS 
